x,y_trial,exp_x,error
0,1,1,0
0.01,1.00994,1.01005,-0.000113188
0.02,1.01998,1.0202,-0.00022131
0.03,1.03013,1.03045,-0.000324778
0.04,1.04039,1.04081,-0.000423992
0.05,1.05075,1.05127,-0.000519341
0.06,1.06123,1.06184,-0.000611198
0.07,1.07181,1.07251,-0.000699927
0.08,1.0825,1.08329,-0.000785878
0.09,1.0933,1.09417,-0.000869386
0.1,1.10422,1.10517,-0.000950776
0.11,1.11525,1.11628,-0.00103036
0.12,1.12639,1.1275,-0.00110843
0.13,1.13764,1.13883,-0.00118528
0.14,1.14901,1.15027,-0.00126116
0.15,1.1605,1.16183,-0.00133636
0.16,1.1721,1.17351,-0.00141109
0.17,1.18382,1.1853,-0.0014856
0.18,1.19566,1.19722,-0.0015601
0.19,1.20761,1.20925,-0.00163479
0.2,1.21969,1.2214,-0.00170987
0.21,1.23189,1.23368,-0.0017855
0.22,1.24421,1.24608,-0.00186184
0.23,1.25666,1.2586,-0.00193905
0.24,1.26923,1.27125,-0.00201727
0.25,1.28193,1.28403,-0.00209659
0.26,1.29475,1.29693,-0.00217715
0.27,1.30771,1.30996,-0.00225902
0.28,1.32079,1.32313,-0.00234228
0.29,1.334,1.33643,-0.00242701
0.3,1.34735,1.34986,-0.00251325
0.31,1.36082,1.36343,-0.00260104
0.32,1.37444,1.37713,-0.00269042
0.33,1.38819,1.39097,-0.00278138
0.34,1.40207,1.40495,-0.00287394
0.35,1.4161,1.41907,-0.00296808
0.36,1.43027,1.43333,-0.00306378
0.37,1.44457,1.44773,-0.003161
0.38,1.45902,1.46228,-0.00325969
0.39,1.47362,1.47698,-0.00335979
0.4,1.48836,1.49182,-0.00346124
0.41,1.50325,1.50682,-0.00356396
0.42,1.51829,1.52196,-0.00366784
0.43,1.53348,1.53726,-0.0037728
0.44,1.54883,1.55271,-0.00387871
0.45,1.56433,1.56831,-0.00398547
0.46,1.57998,1.58407,-0.00409294
0.47,1.59579,1.59999,-0.00420098
0.48,1.61176,1.61607,-0.00430946
0.49,1.6279,1.63232,-0.00441822
0.5,1.64419,1.64872,-0.0045271
0.51,1.66066,1.66529,-0.00463595
0.52,1.67728,1.68203,-0.00474459
0.53,1.69408,1.69893,-0.00485286
0.54,1.71105,1.71601,-0.00496058
0.55,1.72819,1.73325,-0.00506757
0.56,1.7455,1.75067,-0.00517365
0.57,1.76299,1.76827,-0.00527864
0.58,1.78066,1.78604,-0.00538236
0.59,1.7985,1.80399,-0.00548464
0.6,1.81653,1.82212,-0.00558529
0.61,1.83475,1.84043,-0.00568414
0.62,1.85315,1.85893,-0.00578102
0.63,1.87173,1.87761,-0.00587576
0.64,1.89051,1.89648,-0.00596821
0.65,1.90948,1.91554,-0.00605821
0.66,1.92865,1.93479,-0.00614562
0.67,1.94801,1.95424,-0.0062303
0.68,1.96757,1.97388,-0.00631213
0.69,1.98732,1.99372,-0.00639101
0.7,2.00729,2.01375,-0.00646683
0.71,2.02745,2.03399,-0.00653952
0.72,2.04782,2.05443,-0.00660902
0.73,2.06841,2.07508,-0.00667527
0.74,2.0892,2.09594,-0.00673825
0.75,2.1102,2.117,-0.00679796
0.76,2.13142,2.13828,-0.00685442
0.77,2.15286,2.15977,-0.00690767
0.78,2.17451,2.18147,-0.00695779
0.79,2.19639,2.2034,-0.00700487
0.8,2.21849,2.22554,-0.00704904
0.81,2.24082,2.24791,-0.00709047
0.82,2.26337,2.2705,-0.00712934
0.83,2.28615,2.29332,-0.0071659
0.84,2.30917,2.31637,-0.00720041
0.85,2.33241,2.33965,-0.00723317
0.86,2.3559,2.36316,-0.00726455
0.87,2.37962,2.38691,-0.00729493
0.88,2.40357,2.4109,-0.00732476
0.89,2.42778,2.43513,-0.00735453
0.9,2.45222,2.4596,-0.00738476
0.91,2.47691,2.48432,-0.00741607
0.92,2.50184,2.50929,-0.00744908
0.93,2.52702,2.53451,-0.00748451
0.94,2.55246,2.55998,-0.00752311
0.95,2.57814,2.58571,-0.00756571
0.96,2.60408,2.6117,-0.00761319
0.97,2.63028,2.63794,-0.00766652
0.98,2.65673,2.66446,-0.0077267
0.99,2.68344,2.69123,-0.00779483
1,2.71041,2.71828,-0.00787207
