epoch,residual
0,0.163851
1,0.141594
2,0.133591
3,0.127575
4,0.124312
5,0.121658
6,0.118175
7,0.114601
8,0.111733
9,0.109459
10,0.107526
11,0.105912
12,0.104568
13,0.103367
14,0.10225
15,0.101221
16,0.100276
17,0.099402
18,0.0985917
19,0.0978379
20,0.0971316
21,0.096466
22,0.0958369
23,0.095241
24,0.094675
25,0.094136
26,0.0936217
27,0.0931296
28,0.0926579
29,0.092205
30,0.0917692
31,0.0913493
32,0.090944
33,0.0905523
34,0.0901731
35,0.0898056
36,0.0894489
37,0.0891022
38,0.0887649
39,0.0884363
40,0.0881158
41,0.0878029
42,0.0874971
43,0.0871979
44,0.0869049
45,0.0866177
46,0.0863358
47,0.0860591
48,0.085787
49,0.0855193
50,0.0852558
51,0.0849961
52,0.0847399
53,0.0844871
54,0.0842375
55,0.0839907
56,0.0837466
57,0.083505
58,0.0832657
59,0.0830285
60,0.0827933
61,0.0825599
62,0.0823282
63,0.082098
64,0.0818691
65,0.0816415
66,0.081415
67,0.0811895
68,0.0809648
69,0.0807409
70,0.0805177
71,0.080295
72,0.0800727
73,0.0798508
74,0.0796292
75,0.0794077
76,0.0791863
77,0.0789649
78,0.0787434
79,0.0785218
80,0.0782998
81,0.0780776
82,0.077855
83,0.0776319
84,0.0774083
85,0.077184
86,0.0769591
87,0.0767335
88,0.0765071
89,0.0762798
90,0.0760515
91,0.0758223
92,0.0755921
93,0.0753608
94,0.0751283
95,0.0748946
96,0.0746596
97,0.0744233
98,0.0741856
99,0.0739466
100,0.073706
101,0.0734639
102,0.0732203
103,0.072975
104,0.072728
105,0.0724794
106,0.0722289
107,0.0719766
108,0.0717225
109,0.0714664
110,0.0712084
111,0.0709484
112,0.0706864
113,0.0704222
114,0.0701559
115,0.0698874
116,0.0696167
117,0.0693438
118,0.0690685
119,0.0687909
120,0.0685108
121,0.0682284
122,0.0679434
123,0.0676559
124,0.0673659
125,0.0670733
126,0.066778
127,0.06648
128,0.0661793
129,0.0658759
130,0.0655696
131,0.0652605
132,0.0649486
133,0.0646337
134,0.0643159
135,0.0639951
136,0.0636713
137,0.0633445
138,0.0630145
139,0.0626815
140,0.0623453
141,0.0620059
142,0.0616633
143,0.0613174
144,0.0609683
145,0.0606159
146,0.0602602
147,0.0599011
148,0.0595387
149,0.0591728
150,0.0588035
151,0.0584308
152,0.0580547
153,0.057675
154,0.0572919
155,0.0569052
156,0.0565321
157,0.0561668
158,0.055798
159,0.0554256
160,0.0550497
161,0.0546702
162,0.0542872
163,0.0539005
164,0.0535103
165,0.0531165
166,0.0527192
167,0.0523182
168,0.0519137
169,0.0515057
170,0.0510941
171,0.0506789
172,0.0502603
173,0.0498382
174,0.0494126
175,0.0489836
176,0.0485512
177,0.0481154
178,0.0476763
179,0.0472339
180,0.0467882
181,0.0463394
182,0.0458874
183,0.0454323
184,0.0449741
185,0.044513
186,0.044049
187,0.0435822
188,0.0431126
189,0.0426403
190,0.0421654
191,0.041688
192,0.0412082
193,0.040726
194,0.0402416
195,0.0397551
196,0.0392665
197,0.0387761
198,0.0382838
199,0.0377899
200,0.0372943
201,0.0367974
202,0.0362992
203,0.0357998
204,0.0352993
205,0.034798
206,0.0342959
207,0.0337932
208,0.0332901
209,0.0327867
210,0.0322831
211,0.0317796
212,0.0312763
213,0.0307733
214,0.0302709
215,0.0297691
216,0.0292682
217,0.0287683
218,0.0282697
219,0.0277725
220,0.0272768
221,0.0267829
222,0.0262909
223,0.025801
224,0.0253135
225,0.0248284
226,0.0243459
227,0.0238663
228,0.0233898
229,0.0229164
230,0.0224882
231,0.0220755
232,0.0216661
233,0.0212601
234,0.0208578
235,0.0204592
236,0.0200645
237,0.0196738
238,0.0192874
239,0.0189052
240,0.0185275
241,0.0181544
242,0.017786
243,0.0174224
244,0.0170637
245,0.0167101
246,0.0163617
247,0.0160185
248,0.0156806
249,0.0153482
250,0.0150212
251,0.0146999
252,0.0143842
253,0.0140743
254,0.0137701
255,0.0134717
256,0.0131792
257,0.0128927
258,0.0126121
259,0.0123374
260,0.0120687
261,0.0118185
262,0.0116322
263,0.0114503
264,0.0112727
265,0.0110995
266,0.0109307
267,0.0107662
268,0.010606
269,0.0104501
270,0.0102984
271,0.0101509
272,0.0100076
273,0.00990979
274,0.00985254
275,0.00979683
276,0.00974264
277,0.00968995
278,0.00963873
279,0.00958895
280,0.00954059
281,0.00949362
282,0.00944801
283,0.00940372
284,0.00936075
285,0.00931904
286,0.00927857
287,0.00923932
288,0.00920125
289,0.00916432
290,0.00912852
291,0.0090938
292,0.00906015
293,0.00902752
294,0.00899589
295,0.00898436
296,0.00898024
297,0.00897585
298,0.00898178
299,0.00899175
300,0.00900066
301,0.00900854
302,0.00901542
303,0.00902132
304,0.00902628
305,0.00903031
306,0.00903346
307,0.00903574
308,0.00903718
309,0.00903782
310,0.00903767
311,0.00903677
312,0.00903515
313,0.00903282
314,0.00902981
315,0.00902615
316,0.00902187
317,0.00901699
318,0.00901153
319,0.00900552
320,0.00899899
321,0.00899194
322,0.00898442
323,0.00897643
324,0.00896801
325,0.00895917
326,0.00894993
327,0.00894032
328,0.00893035
329,0.00892004
330,0.00890941
331,0.00889848
332,0.00888727
333,0.00887578
334,0.00886405
335,0.00885208
336,0.0088399
337,0.0088275
338,0.00881492
339,0.00880216
340,0.00878923
341,0.00877618
342,0.00876291
343,0.00874965
344,0.00873606
345,0.00872272
346,0.00870868
347,0.00869556
348,0.00868071
349,0.00866852
350,0.00865178
351,0.00864242
352,0.00862062
353,0.00861963
354,0.00858327
355,0.00860738
356,0.0085269
357,0.00862904
358,0.00840904
359,0.00876294
360,0.0082811
361,0.00928054
362,0.00921461
363,0.011256
364,0.0168822
365,0.0283153
366,0.0490369
367,0.0800841
368,0.127984
369,0.162739
370,0.181678
371,0.122668
372,0.0821146
373,0.0486845
374,0.0285791
375,0.00815213
376,0.0177756
377,0.0101537
378,0.0107211
379,0.0117038
380,0.0104369
381,0.00982165
382,0.0100465
383,0.00932097
384,0.00905626
385,0.00878714
386,0.00843216
387,0.00813669
388,0.0078757
389,0.00761085
390,0.00743816
391,0.007256
392,0.00708622
393,0.00692338
394,0.00677017
395,0.00662098
396,0.00648199
397,0.0063473
398,0.0062388
399,0.00619268
400,0.00614887
401,0.00610709
402,0.0060674
403,0.00602958
404,0.00600987
405,0.00600155
406,0.00599357
407,0.00598582
408,0.0059815
409,0.00600589
410,0.00602882
411,0.00605029
412,0.00607039
413,0.00608917
414,0.00610669
415,0.006123
416,0.00613815
417,0.0061522
418,0.00616518
419,0.00617715
420,0.00618816
421,0.00619824
422,0.00620744
423,0.0062158
424,0.00622335
425,0.00623015
426,0.00623621
427,0.00624158
428,0.0062463
429,0.00625038
430,0.00625387
431,0.0062568
432,0.00625919
433,0.00626106
434,0.00626246
435,0.0062634
436,0.0062639
437,0.00626399
438,0.0062637
439,0.00626303
440,0.00626202
441,0.00626068
442,0.00625903
443,0.00625709
444,0.00625487
445,0.0062524
446,0.00624967
447,0.00624672
448,0.00624355
449,0.00624018
450,0.00623662
451,0.00623288
452,0.00622896
453,0.00622489
454,0.00622067
455,0.00621632
456,0.00621183
457,0.00620722
458,0.00620249
459,0.00619766
460,0.00619273
461,0.0061877
462,0.00618259
463,0.00617739
464,0.00617212
465,0.00616678
466,0.00616137
467,0.0061559
468,0.00615038
469,0.00614479
470,0.00613916
471,0.00613348
472,0.00612776
473,0.00612199
474,0.00611619
475,0.00611035
476,0.00610448
477,0.00609859
478,0.00609264
479,0.00608671
