x,y_trial,exp_x,error
0,1,1,0
0.01,1.00994,1.01005,1.28115e-08
0.02,1.01998,1.0202,4.89781e-08
0.03,1.03013,1.03045,1.05481e-07
0.04,1.04039,1.04081,1.79769e-07
0.05,1.05075,1.05127,2.69715e-07
0.06,1.06123,1.06184,3.73563e-07
0.07,1.07181,1.07251,4.89898e-07
0.08,1.0825,1.08329,6.17604e-07
0.09,1.0933,1.09417,7.55832e-07
0.1,1.10422,1.10517,9.03975e-07
0.11,1.11525,1.11628,1.06164e-06
0.12,1.12639,1.1275,1.22862e-06
0.13,1.13764,1.13883,1.40488e-06
0.14,1.14901,1.15027,1.59054e-06
0.15,1.1605,1.16183,1.78585e-06
0.16,1.1721,1.17351,1.99118e-06
0.17,1.18382,1.1853,2.20701e-06
0.18,1.19566,1.19722,2.43391e-06
0.19,1.20761,1.20925,2.67254e-06
0.2,1.21969,1.2214,2.92364e-06
0.21,1.23189,1.23368,3.18799e-06
0.22,1.24421,1.24608,3.46646e-06
0.23,1.25666,1.2586,3.75993e-06
0.24,1.26923,1.27125,4.06936e-06
0.25,1.28193,1.28403,4.3957e-06
0.26,1.29475,1.29693,4.73997e-06
0.27,1.30771,1.30996,5.10315e-06
0.28,1.32079,1.32313,5.48628e-06
0.29,1.334,1.33643,5.89037e-06
0.3,1.34735,1.34986,6.31642e-06
0.31,1.36082,1.36343,6.76543e-06
0.32,1.37444,1.37713,7.23834e-06
0.33,1.38819,1.39097,7.73609e-06
0.34,1.40207,1.40495,8.25954e-06
0.35,1.4161,1.41907,8.80951e-06
0.36,1.43027,1.43333,9.38674e-06
0.37,1.44457,1.44773,9.9919e-06
0.38,1.45902,1.46228,1.06256e-05
0.39,1.47362,1.47698,1.12882e-05
0.4,1.48836,1.49182,1.19802e-05
0.41,1.50325,1.50682,1.27018e-05
0.42,1.51829,1.52196,1.34531e-05
0.43,1.53348,1.53726,1.4234e-05
0.44,1.54883,1.55271,1.50444e-05
0.45,1.56433,1.56831,1.5884e-05
0.46,1.57998,1.58407,1.67521e-05
0.47,1.59579,1.59999,1.76482e-05
0.48,1.61176,1.61607,1.85714e-05
0.49,1.6279,1.63232,1.95207e-05
0.5,1.64419,1.64872,2.04947e-05
0.51,1.66066,1.66529,2.1492e-05
0.52,1.67728,1.68203,2.25112e-05
0.53,1.69408,1.69893,2.35503e-05
0.54,1.71105,1.71601,2.46073e-05
0.55,1.72819,1.73325,2.56802e-05
0.56,1.7455,1.75067,2.67666e-05
0.57,1.76299,1.76827,2.7864e-05
0.58,1.78066,1.78604,2.89698e-05
0.59,1.7985,1.80399,3.00813e-05
0.6,1.81653,1.82212,3.11955e-05
0.61,1.83475,1.84043,3.23095e-05
0.62,1.85315,1.85893,3.34202e-05
0.63,1.87173,1.87761,3.45246e-05
0.64,1.89051,1.89648,3.56195e-05
0.65,1.90948,1.91554,3.67019e-05
0.66,1.92865,1.93479,3.77686e-05
0.67,1.94801,1.95424,3.88166e-05
0.68,1.96757,1.97388,3.9843e-05
0.69,1.98732,1.99372,4.0845e-05
0.7,2.00729,2.01375,4.18199e-05
0.71,2.02745,2.03399,4.27654e-05
0.72,2.04782,2.05443,4.36791e-05
0.73,2.06841,2.07508,4.45592e-05
0.74,2.0892,2.09594,4.5404e-05
0.75,2.1102,2.117,4.62123e-05
0.76,2.13142,2.13828,4.69831e-05
0.77,2.15286,2.15977,4.7716e-05
0.78,2.17451,2.18147,4.84108e-05
0.79,2.19639,2.2034,4.90682e-05
0.8,2.21849,2.22554,4.9689e-05
0.81,2.24082,2.24791,5.02747e-05
0.82,2.26337,2.2705,5.08275e-05
0.83,2.28615,2.29332,5.13501e-05
0.84,2.30917,2.31637,5.18458e-05
0.85,2.33241,2.33965,5.23188e-05
0.86,2.3559,2.36316,5.27737e-05
0.87,2.37962,2.38691,5.3216e-05
0.88,2.40357,2.4109,5.36521e-05
0.89,2.42778,2.43513,5.4089e-05
0.9,2.45222,2.4596,5.45347e-05
0.91,2.47691,2.48432,5.4998e-05
0.92,2.50184,2.50929,5.54888e-05
0.93,2.52702,2.53451,5.60178e-05
0.94,2.55246,2.55998,5.65972e-05
0.95,2.57814,2.58571,5.724e-05
0.96,2.60408,2.6117,5.79607e-05
0.97,2.63028,2.63794,5.87755e-05
0.98,2.65673,2.66446,5.97019e-05
0.99,2.68344,2.69123,6.07593e-05
1,2.71041,2.71828,6.19694e-05
